group,Deaths,Active
Eastern_Cape,3727,3784
Free_State,1522,11754
Gauteng,4828,15411
KwaZulu_Natal,3226,7083
Limpopo,460,527
Mpumalanga,606,576
North_West,452,3399
Northern_Cape,275,3597
Western_Cape,4369,4499
